job_id,job_title,company,job_function,job_type,industry,career_level,years_of_experience,qualification,benefits
100003010741012,Accounting Officer,TTI Hong Kong Limited,"Accounting, Accounting Clerk / Supervisor, Others","Full Time, Permanent",,,,,"Dental insurance, Free shuttle bus, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743177,Accounting Assistant/Clerk,Ocean Well Food & Beverage Group Limited,"Accounting, Accounting Clerk / Supervisor, Hospitality / F & B, Food & Beverage","Full Time, Permanent",,Entry Level,2 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010744729,"Manager, Corporate Liaison Office",Hong Kong Science and Technology Parks Corporation,"Marketing / Public Relations, Marketing - Marketing Communication, Public Relations - Event Management, Public / Civil, Others","Full Time, Contract",,Middle,8 years,Degree,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010742382,Part Time Sales Associate 兼職銷售顧問,Golden Goose HK Limited,"Sales, CS & Business Devpt, Retail Sales, Sales - Sales Management, Direct Sales",Part Time,,Entry Level,,School Certificate,
100003010745220,Sales & Growth Marketing Officer,Cornerstone Technologies Holdings Limited,"Sales, CS & Business Devpt, Call Centre, Marketing / Public Relations, Marketing - Marketing Communication, Tele-sales (Telemarketing)","Full Time, Permanent",,Entry Level,1 year,Degree,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743605,Sales Operation Specialist,KPay Merchant Service Limited,"Management, General Management, Manufacturing, Quality Assurance, Control & Testing / ISO, Information Technology (IT), Data Scientist","Full Time, Permanent",,Middle,1 year,Degree,"Dental insurance, Gratuity, Medical insurance, Performance bonus, Five-day work week"
100003010743292,Project Coordinator (2-year contract),Autotoll Limited,"Engineering, Electrical / Electronics, Mechanical, Others","Full Time, Contract",,Entry Level,2 years,Degree,"Free shuttle bus, Medical insurance, Five-day work week, Flexible working hours"
100003010743308,Air Freight Operation Officer/Senior Officer (Public Holiday),Sagawa Express (H.K.) Company Limited,"Transportation & Logistics, Freight Forwarding, Supply Chain","Full Time, Permanent",,Middle,3 years,School Certificate,"Medical insurance, Overtime pay, Transportation allowance"
100003010738881,Web Programmer,BridgeBuilder Company Limited,"Information Technology (IT), Application Specialist - Software, Software Development","Full Time, Permanent",,Middle,N/A,Non-Degree Tertiary,"Dental insurance, Education allowance, Life insurance, Medical insurance, Overtime pay, Performance bonus, Transportation allowance, Travel allowance, Five-day work week"
100003010743835,Facilities Manager (Chai Wan),Pain Perdu Limited,"Engineering, Manufacturing & Production, Mechanical, Manufacturing, Manufacturing Management","Full Time, Permanent",,Middle,7 years,Non-Degree Tertiary,"Medical insurance, Performance bonus, Five-day work week"
100003010743656,Settlement Officer,"GF Futures (Hong Kong) Co., Limited","Banking / Finance, Financial Services, Others, Order Processing & Operation / Settlement",Full Time,,Entry Level,1 year,Degree,"Dental insurance, Life insurance, Performance bonus, Five-day work week"
100003010742035,顧客服務助理 Customer Service Assistant (人工可達20K或以上 ),CDF-Lagardere Company Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Retail Sales, Others","Full Time, Permanent",,Entry Level,N/A,,"Dental insurance, Gratuity, Life insurance, Medical insurance, Performance bonus, Transportation allowance, Five-day work week"
100003010743300,Graduate Trainee / Graduate Engineer,Leighton Contractors (Asia) Ltd,"Building & Construction, Civil / Structural",Permanent,,Entry Level,N/A,Degree,
100003010742108,會計Accounts,華創駿洋居,"Accounting, Accountant, Accounting Clerk / Supervisor, Admin & HR, Clerical / Admin Staff",Full Time,,Middle,,,
100003010739114,Operation Support Officer (Ref: JDB/SO),Aeon Stores (Hong Kong) Co Ltd,"Sales, CS & Business Devpt, Wholesale","Full Time, Permanent",,Middle,3 years,Non-Degree Tertiary,"Double pay, Education allowance, Medical insurance, Performance bonus"
100003010743184,兼職/全職合約牙科助護,Caritas - Hong Kong,"Medical Services, Others","Full Time, Part Time, Contract",,,,Non-Degree Tertiary,
100003010745048,Intern (Financial Information System),Shangri-La International Hotel Management Limited,"Banking / Finance, Project Finance",Internship,,,,,
100003010741312,"System Administrator, IT (5 days work)",WT Microelectronics (Hong Kong) Limited,"Information Technology (IT), Support, Network & System",Full Time,,Entry Level,1 year,Degree,"Life insurance, Medical insurance, Five-day work week"
100003010744200,OMUSUBI 兼職店舖助理 *時薪$70* [中環IFC / 蘭桂坊],Hyakunousha International Limited,"Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Retail Sales, Others",Part Time,,,,,
100003010740863,E-Commerce Assistant/ Marketing Assistant (Part Time),Top One Network International Limited,"E-commerce, Marketing - Brand / Product Management","Part Time, Temporary, Contract",,,,,
100003010744284,Engineer / Assistant Manager | Solar | E&M | IoT | Lighting,JF Talent Consulting Group Limited,"Engineering, Electrical / Electronics, Engineering Project Management, Mechanical","Full Time, Permanent",,Middle,5 years,Non-Degree Tertiary,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743828,Trade Marketing Executive $20K-$23K,ADECCO,"Marketing / Public Relations, Marketing - Brand / Product Management, Marketing - Direct Marketing, Marketing - General / Support","Full Time, Contract",,,,,"Gratuity, Medical insurance, Five-day work week"
100003010743764,Contract Merchandising Assistant (6 months and 10 months),Hallmark Cards (HK) Limited,"Merchandising & Purchasing, Procurement / Purchasing / Sourcing","Full Time, Contract",,Entry Level,1 year,Non-Degree Tertiary,
100003010743491,Business Development Assistant,Hellotoby Technology (HK) Limited,"Sales, CS & Business Devpt, Business Development, Direct Sales, E-commerce, Others",Full Time,,Middle,N/A,Non-Degree Tertiary,"Dental insurance, Life insurance, Medical insurance, Performance bonus, Travel allowance, Work from home, Five-day work week, Flexible working hours"
100003010740364,辦公室臨時助理 (Part Time),Brand Off Limited,"Admin & HR, Clerical / Admin Staff, Others",Part Time,,Entry Level,N/A,School Certificate,
100003010744513,Engineer / Assistant Engineer (5 days work),Mun Hean Electrical Engineering (H.K.) Co Ltd,"Engineering, Electrical / Electronics, Others, Others, Technician","Full Time, Permanent",,Entry Level,1 year,Non-Degree Tertiary,"Medical insurance, Transportation allowance, Five-day work week"
100003010743238,Administrative clerk / Information Collection,,"Others, Junior Executive",Part Time,,Entry Level,2 years,School Certificate,Flexible working hours
100003010745111,"Assistant Finance Manager (Financial Reporting & Internal Control), Group Finance",A.S. Watson Retail (HK) Limited,"Accounting, Accountant, Financial Analyst","Full Time, Permanent",,Middle,6 years,Degree,"Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010744746,IT Project Manager (Greater China),Young Living Hong Kong Limited,"Information Technology (IT), IT Project Management / Team Lead, IT Management, Network & System","Full Time, Permanent",,Senior,3 years,Degree,"Dental insurance, Education allowance, Life insurance, Medical insurance, Performance bonus, Five-day work week"
100003010741139,Administrative Assistant and Receptionist,PERI (Hong Kong) Limited,"Admin & HR, Clerical / Admin Staff, Personal / Executive Assistant, Receptionist","Full Time, Permanent",,Middle,2 years,Degree,"Dental insurance, Double pay, Free shuttle bus, Life insurance, Medical insurance, Five-day work week"
100003010739618,"Senior Manager, HR & Admin (MNC | Urgent)","JAC Recruitment Hong Kong Co., Limited","Admin & HR, HR Director / Manager",Full Time,,,,,"Five-day work week, Flexible working hours"
100003010743676,倉務員,Bright Future Pharmaceutical Laboratories Ltd,"Transportation & Logistics, Others, Inventory / Warehousing, Supply Chain",Full Time,,,,,
100003010743635,理貨及倉務店員,Day Day Delivery Limited,"Others, Agriculture / Forestry / Fishing, Sales, CS & Business Devpt, Retail Sales, Wholesale",Full Time,,,,,Performance bonus
100003010744624,Business Analyst,Cornerstone ITE Limited,"Information Technology (IT), IT Management, Product Management / Business Analyst, Software Development","Full Time, Permanent",,Middle,3 years,Degree,"Medical insurance, Performance bonus, Five-day work week"
100003010744590,Senior Merchandiser/Buyer,The French Chamber of Commerce and Industry in HK,"Merchandising & Purchasing, Others, Procurement / Purchasing / Sourcing","Full Time, Permanent",,,,,"Double pay, Medical insurance, Work from home, Five-day work week, Flexible working hours"
100003010743717,Part Time Category Management / Planning Assistant (Cakes & Bakery),Maxim's Caterers Limited,"Hospitality / F & B, Food & Beverage, Admin & HR, Compensation & Benefits, Manufacturing, Production Planning / Control",Part Time,,Entry Level,N/A,School Certificate,
100003010741796,Executive Assistant,JMC Capital Group Limited,"Banking / Finance, Financial Services","Full Time, Permanent",,Entry Level,,Non-Degree Tertiary,"Dental insurance, Education allowance, Medical insurance, Performance bonus, Five-day work week"
100003010741672,Secretary,Kerry Properties Limited,"Admin & HR, Secretary",Full Time,,Entry Level,3 years,Degree,
100003010743706,Part-time Customer Services Representative (Hourly rate: HK$80),Hysan Development Co. Ltd.,"Property / Real Estate, Property Management, Sales, CS & Business Devpt, Others, Others, Student / Fresh Graduate / No Experience","Part Time, Temporary",,Entry Level,N/A,Non-Degree Tertiary,
100003010744097,IT Security Officer (Over $45K),CL Technical Services Ltd.,"Information Technology (IT), Support, Security, Network & System",Full Time,,,,,"Medical insurance, Five-day work week"
100003010742541,Accounting Assistant/ - $20 - 25k x 13 months + bonus,Randstad Hong Kong Limited,"Accounting, Accounting Clerk / Supervisor","Full Time, Permanent",,Entry Level,N/A,Degree,
100003010744965,"Marketing Officer, Card Credit",Prosperous Future Holdings Limited,"E-commerce, Marketing - Brand / Product Management","Full Time, Permanent",,Entry Level,3 years,Degree,"Dental insurance, Medical insurance, Performance bonus, Five-day work week"
100003010743073,Junior Accountant,Cathey World Investment Limited,"Accounting, Accountant, Accounting Clerk / Supervisor","Full Time, Permanent",,,,,"Double pay, Medical insurance, Five-day work week"
100003010744293,Senior Merchandiser/ Merchandiser,Sterling & Grant Ltd,"Merchandising & Purchasing, Woven / Knit",Full Time,,,4 years,Non-Degree Tertiary,"Double pay, Medical insurance, Performance bonus, Five-day work week, Flexible working hours"
100003010744994,Cybersecurity Analyst,Cornerstone Global Partners,"Information Technology (IT), Security","Full Time, Permanent",,,,,"Life insurance, Performance bonus, Transportation allowance, Five-day work week, Flexible working hours"
100003010743226,Internship,WFG,"Sales, CS & Business Devpt, Business Development, Marketing / Public Relations, Marketing - Direct Marketing",Internship,,Entry Level,N/A,Non-Degree Tertiary,
100003010741214,Senior Human Resources Specialist,"Atlas Air, Inc.","Admin & HR, Compensation & Benefits, HR Supporting Staff, Recruitment / Executive Search","Full Time, Permanent",,Middle,6 years,Degree,"Double pay, Life insurance, Medical insurance, Transportation allowance, Five-day work week"
100003010740983,Event Executive,Star Career Consultancy,"Admin & HR, Clerical / Admin Staff, Sales, CS & Business Devpt, Customer Service - Supervisor / Officer, Marketing / Public Relations, Others","Full Time, Permanent",,,,,"Education allowance, Medical insurance, Performance bonus, Five-day work week"
100003010739557,Officer – Information Technology (Ref: IT/02/006) (Application Services),Hong Kong Examinations and Assessment Authority,"Information Technology (IT), Application Specialist - Software, Support, Others","Full Time, Contract",,Middle,5 years,Degree,"Dental insurance, Gratuity, Medical insurance"
100003010744671,Translator (Part-time),Construction Industry Council,"Admin & HR, Clerical / Admin Staff, Professional Services, Translation",Part Time,,Entry Level,3 years,Matriculated,
100003010741382,Administrative Clerk (Projects),Arcon System Limited,"Admin & HR, Clerical / Admin Staff",Full Time,,Middle,2 years,Non-Degree Tertiary,"Medical insurance, Performance bonus"
100003010739061,Executive Assistant,Robert Walters (HK),"Admin & HR, Secretary","Full Time, Permanent",,Middle,10 years,Degree,
